bedrag
"10,00"
"1,99"
"8,00"
"20,00"
"13,95"
"1,99"
"9,49"
"7,75"
"17,99"
"14,25"
"1,99"
"12,50"
"10,00"
"13,99"
"7,80"
"17,76"
"5,00"
"1,99"
"29,50"
"5,00"
"12,00"
"5,00"
"19,99"
"15,00"
"7,99"
"7,00"
"23,99"
"6,00"
"6,00"
"1,99"
"6,50"
"1,99"
"37,99"
"6,50"
"34,00"
"21,98"
"4,81"
"13,25"
"10,00"
"1,99"
"8,20"
"19,99"
"23,45"
"12,75"
"83,72"
"1,99"
"13,00"
"7,85"
"1,99"
"27,50"
"13,99"
"67,54"
"8,49"
"1,99"
"10,00"
"86,80"
"1,99"
"7,45"
"14,99"
"8,25"
"1,99"
"11,00"
"4,00"
"7,00"
"19,75"
"23,08"
"4,95"
"101,44"
"4,39"
"6,00"
"12,75"
"7,99"
"80,79"
"71,78"
"6,00"
"1,99"
"8,00"
"6,00"
"7,50"
"19,50"
"8,00"
"24,47"
"14,89"
"13,50"
"14,50"
"11,00"
"8,50"
"1,99"
"8,00"
"1,99"
"114,66"
"9,95"
"11,40"
"8,09"
"15,55"
"10,73"
"9,18"
"14,87"
"5,53"
"9,18"
"15,95"
"23,58"
"75,96"
"1,99"
"8,95"
"12,00"
"7,50"
"1,99"
"8,99"
"12,50"
"12,32"
"22,98"
"119,00"
"23,96"
"19,49"
"10,99"
"17,50"
"11,99"
